Question 14: Debates,582,545,1615,722,732,4196,"(A) Announce plans to build a wall around New Haven
","(B) Respond to everything the other candidate says with ""I am rubber and you are glue.""
","(C) Answer every moderator question with lyrics from ""What Do You Mean?""
","(D) Talk about your grandparents traveling to America and working their way up by their bootstraps. Even if your family has been in the country for eight generations, and you don't own boots.
","(E) Describe new economic stimulus package funded entirely with Powerball tickets
","(14) How would you win a presidential debate?
"
Question 15: Fire,418,784,407,882,1705,4196,"(A) The journal you've had since you were 13 and is filled with bad poetry about your crushes.
","(B) Your 16-year old teddy bear who's dear to you...and absolutely traumatized by what it's seen.
","(C) Your violin/cello/trumpet/clarinet/flute/kazoo/theremin/vuvuzela/[insert musical noisemaker here].
","(D) The family photographs. Except the one of you in that Christmas sweater...no one needs to know about that one.
","(E) Your computer. Can't even risk the firefighters finding the browser history.
","(15) Assuming everyone is already safe, what's the first thing you would try to save from a fire?
"
Question 16: Presidential,528,1106,334,991,1237,4196,"(A) The Trump - Make my bedroom great again.
","(B) The Bern - Old school cool.
","(C) The Cruz - I've never been with a foreigner before.
","(D) The Clinton - We'll need a private email server for the type of messages we're sending.
","(E) Deez Nuts
","(16) If you could date any presidential candidate, you would date...
"
Question 17: Solo Cup,575,1086,526,1025,984,4196,"(A) I don't drink
","(B) Full
","(C) A mystery
","(D) My cup is red. I'm not sure this is my cup. Oh well. Drink is drink.
","(E) Han
","(17) How do like your Solo cup?
"
Question 18: Lamont,1274,974,362,872,714,4196,"(A) I got 99 problems ... left on this problem set.
","(B) The horrifying reality of human mortality.
","(C) Nobody liked my placemats :(
","(D) It's been 5 hours, and I still can't get my Harvard Key to work
","(E) Everyone else was doing it, and I didn't want to feel left out
","(18) It's 2 A.M. Why are you crying in Lamont?
"
Question 19: Headline,484,500,1225,1328,659,4196,"(A) ""New Winthrop House Dress Code Includes Hazmat Suit""
","(B) ""Prince Zuko Nominated For Honor Council""
","(C) ""Last Locally Owned Restuarant in Harvard Square Closes, To Be Replaced by 24-Hour CVS/Starbucks Combination""
","(D) ""Responding to Student Criticism, Harvard Purchases 20 Acres of Allston Land For Use As Safe Space""
","(E) ""Martin O'Malley Places Third in U.C. Elections Behind Beyonce and Can of Tomato Basil Ravioli""
","(19) Crimson headline you expect to see in the near future:
"
Question 20: Guilty Ples.,314,1065,1215,485,1117,4196,"(A) Showering with my clothes on
","(B) Writing ""IS THIS WHAT YOU REALLY WANT?"" in all the premed textbooks
","(C) Listening to ""Trap Queen"" while showering your twenty-dollar bills--all two of them
","(D) Coating the John Harvard statue with water-repellant paint
","(E) Smiling
","(20) What's your guilty pleasure?
"
Question 21: TV ,900,482,530,1596,688,4196,"(A) The Daily Show
","(B) The Flash 
","(C) The Grinder
","(D) Master of None
","(E) Scream Queens
","(21) Which TV show best describes your sex life?
"
Question 22: Whale,621,561,935,973,1106,4196,"(A) WOOOOOOOOOOOOOEEEEEEEEOOOOOOWWWWWWWWWWWWWWEEEEEEOOOOOO...
","(B) ...EEEEEOOOOOOOOOOOOOWWWWWWWWWWWWWWWWOOOOOOOOOOOEEEEEEEEEEEEOOOO...
","(C) I love you so much it krills me.
","(D) You're over-whale-mingly beautiful.
","(E) .....EEEEEEEEEEOOOOOOOOOOOOOOOOOWWWWWWWWWWWWWWOOOOOOOOOOOOOOEEEEEEEE... [whale noises continue until other person leaves]
","(22) If you were a whale, your pick up line of choice would be...
"
Question 23: Position,1048,775,359,680,1334,4196,"(A) Speaker of the House
","(B) Wide Receiver
","(C) Padmasana
","(D) i times h-bar times the gradient with respect to momentum
","(E) On top.
","(23) What's your favorite position?
"
Question 24: Comp,628,933,745,609,1281,4196,"(A) Publication: I was politely told to try again after taking Expos 10, or perhaps Expos 0
","(B) Academic/Vocation: I was politely told that ""Being Bitchin'"" was not a current field of study at Harvard. 
","(C) Performing arts: I was politely told that sometimes it's possible to use live Autotune.
","(D) Social club: I was politely told that they do not accept freshmen, or me.
","(E) Other: I got in! I kind of want to quit now though, I'm just too awkward to ask to be taken off the mailing list...
","(24) What was the first type of group you comped during freshman fall?
"
Question 25: Hello,1405,679,1242,400,470,4196,"(A) From the other siiiiiiide.
","(B) world!
","(C) My name is Inigo Montoya. You killed my father. Prepare to die.
","(D) Have you heard the good word of our Lord and Savior?
","(E) How did you get this number!? Stop calling me!
","(25) Hello...
"
Question 26: Gen Ed,941,999,584,478,1194,4196,"(A) Several episodes of ""Bill Nye the Science Guy"" and ""Where in the World Is Carmen Sandiego?""
","(B) Ice Cube, a man who is simultaneously a musician, an actor, and an entrepreneur. The General Education program should strive to produce multitalented citizens of the world like Ice Cube.
","(C) SoulCycle class.
","(D) A single class on Genghis Khan, Hannibal, and Ulysses S. Grant.
","(E) One-hour long nap sessions.
","(26) What should Harvard replace the General Education program with?
"
Question 27: Pickup Line,1163,1063,638,372,960,4196,"(A) Did it hurt? When you tripped on the sidewalk because of Cambridgeê_s notoriously dangerous ancient cobblestone walkways?
","(B) I'd like to add you to my professional network on LinkedIn.
","(C) [Hold up list of movies, bucket of ice, and smile]
","(D) 01100010 01101100 01100101 01100101 01110000 00100000 01100010 01101100 01101111 01101111 01110000
","(E) ...EEEEEEEEEOOOOOOOOOEEEEEEEEEE..... :whale: :whale: :whale:
","(27) What's your favorite pickup line?
"
Question 28: Quality,799,1549,284,1193,371,4196,"(A) The intellectual or creative knowledge you have about an uncommon and/or embarassing subject.
","(B) The particular sense of humor you have and the kind of unexpected joke you make in situations.
","(C) The physical beauty in a specifc and unexpected, and possibly embarassing, part of your body.
","(D) The work and dedication you put into usually unnoticed situations, causes, or relationships.
","(E) The particular difficulty you have with an otherwise common occurrence or situation.
","(28) What quality would you most appreciate someone noticing about you?
"
Question 29: Future,880,1084,675,1063,494,4196,"(A) Being a widely respected leader or policy maker, whose decisions are vastly influencing, for better or worse.
","(B) Being an internationally renowned creator whose inventions or art are widely known and respected, though you might not always be liked.
","(C) Being wealthy, well-liked, and free from want for any resource, though you may lack time for personal pursuits.
","(D) Living a fulfilled family life with a stable career, though both may be unextraordinary. 
","(E) Living extremely charitably or performing an extremely charitable act, though likely at cost to yourself.
","(29) The aspect of your future you've daydreamed the most about is...
"
Question 30: Meetup,1487,1563,292,335,519,4196,"(A) Extremely high chance.
","(B) Decent chance.
","(C) Poor chance.
","(D) Extremely low chance.
","(E) Not sure yet.
","(30) If you had the offer to go on a free meal with one of your matches, what would be the chance of you taking that offer?
"
Question 31: Question,409,1075,972,1186,554,4196,"(A) Number 22
","(B) That one! Over there!
","(C) ""What was your favorite question on this survey?""
","(D) I appreciated all of the questions and the effort that went into designing this survey.
","(E) I found this survey hackneyed and recherchê_
","(31) What was your favorite question on this survey?
"
