"(11) If you had unlimited time and resources, what would you write a thesis on?
","(A) A Humanistic Study of the Conservation of Energy: On Half-Assing a Thesis
",943,"(B) Review of Recent Developments in Physics: When Things Bump Into Each Other, Other Things Happen
",854,"(C) Deconstruction of 21st Century Government: He Said, She Said
",865,"(D) A Subtextual Conjunction in Visual Studies: Hey, I Made a Youtube Video
",703,"(E) The Politics of Medicine: When I Was 12, My Parents Asked If I Wanted To Be a Doctor or Lawyer
",831
"(12) Your most common in-class daydream is...
","(A) HUDS curly fries
",820,"(B) Person two rows in front me
",1429,"(C) Essay magically completes itself.
",1005,"(D) David Malan.
",249,"(E) My lawyer has advised me not to disclose this information.
",693
"(13) If you and your #1 Datamatch could be a celebrity couple, who would you want to be?
","(A) Kim and Kanye
",427,"(B) Kanye and Kanye
",1259,"(C) Martin Shkreli and a briefcase full of money
",418,"(D) Matt Damon and outer space
",1265,"(E) Dean Khurana and the Final Clubs
",827
"(14) How would you win a presidential debate?
","(A) Announce plans to build a wall around New Haven
",582,"(B) Respond to everything the other candidate says with ""I am rubber and you are glue.""
",545,"(C) Answer every moderator question with lyrics from ""What Do You Mean?""
",1615,"(D) Talk about your grandparents traveling to America and working their way up by their bootstraps. Even if your family has been in the country for eight generations, and you don't own boots.
",722,"(E) Describe new economic stimulus package funded entirely with Powerball tickets
",732
"(15) Assuming everyone is already safe, what's the first thing you would try to save from a fire?
","(A) The journal you've had since you were 13 and is filled with bad poetry about your crushes.
",418,"(B) Your 16-year old teddy bear who's dear to you...and absolutely traumatized by what it's seen.
",784,"(C) Your violin/cello/trumpet/clarinet/flute/kazoo/theremin/vuvuzela/[insert musical noisemaker here].
",407,"(D) The family photographs. Except the one of you in that Christmas sweater...no one needs to know about that one.
",882,"(E) Your computer. Can't even risk the firefighters finding the browser history.
",1705
"(16) If you could date any presidential candidate, you would date...
","(A) The Trump - Make my bedroom great again.
",528,"(B) The Bern - Old school cool.
",1106,"(C) The Cruz - I've never been with a foreigner before.
",334,"(D) The Clinton - We'll need a private email server for the type of messages we're sending.
",991,"(E) Deez Nuts
",1237
"(17) How do like your Solo cup?
","(A) I don't drink
",575,"(B) Full
",1086,"(C) A mystery
",526,"(D) My cup is red. I'm not sure this is my cup. Oh well. Drink is drink.
",1025,"(E) Han
",984
"(18) It's 2 A.M. Why are you crying in Lamont?
","(A) I got 99 problems ... left on this problem set.
",1274,"(B) The horrifying reality of human mortality.
",974,"(C) Nobody liked my placemats :(
",362,"(D) It's been 5 hours, and I still can't get my Harvard Key to work
",872,"(E) Everyone else was doing it, and I didn't want to feel left out
",714
"(19) Crimson headline you expect to see in the near future:
","(A) ""New Winthrop House Dress Code Includes Hazmat Suit""
",484,"(B) ""Prince Zuko Nominated For Honor Council""
",500,"(C) ""Last Locally Owned Restuarant in Harvard Square Closes, To Be Replaced by 24-Hour CVS/Starbucks Combination""
",1225,"(D) ""Responding to Student Criticism, Harvard Purchases 20 Acres of Allston Land For Use As Safe Space""
",1328,"(E) ""Martin O'Malley Places Third in U.C. Elections Behind Beyonce and Can of Tomato Basil Ravioli""
",659
"(20) What's your guilty pleasure?
","(A) Showering with my clothes on
",314,"(B) Writing ""IS THIS WHAT YOU REALLY WANT?"" in all the premed textbooks
",1065,"(C) Listening to ""Trap Queen"" while showering your twenty-dollar bills--all two of them
",1215,"(D) Coating the John Harvard statue with water-repellant paint
",485,"(E) Smiling
",1117
"(21) Which TV show best describes your sex life?
","(A) The Daily Show
",900,"(B) The Flash 
",482,"(C) The Grinder
",530,"(D) Master of None
",1596,"(E) Scream Queens
",688
"(22) If you were a whale, your pick up line of choice would be...
","(A) WOOOOOOOOOOOOOEEEEEEEEOOOOOOWWWWWWWWWWWWWWEEEEEEOOOOOO...
",621,"(B) ...EEEEEOOOOOOOOOOOOOWWWWWWWWWWWWWWWWOOOOOOOOOOOEEEEEEEEEEEEOOOO...
",561,"(C) I love you so much it krills me.
",935,"(D) You're over-whale-mingly beautiful.
",973,"(E) .....EEEEEEEEEEOOOOOOOOOOOOOOOOOWWWWWWWWWWWWWWOOOOOOOOOOOOOOEEEEEEEE... [whale noises continue until other person leaves]
",1106
"(23) What's your favorite position?
","(A) Speaker of the House
",1048,"(B) Wide Receiver
",775,"(C) Padmasana
",359,"(D) i times h-bar times the gradient with respect to momentum
",680,"(E) On top.
",1334
"(24) What was the first type of group you comped during freshman fall?
","(A) Publication: I was politely told to try again after taking Expos 10, or perhaps Expos 0
",628,"(B) Academic/Vocation: I was politely told that ""Being Bitchin'"" was not a current field of study at Harvard. 
",933,"(C) Performing arts: I was politely told that sometimes it's possible to use live Autotune.
",745,"(D) Social club: I was politely told that they do not accept freshmen, or me.
",609,"(E) Other: I got in! I kind of want to quit now though, I'm just too awkward to ask to be taken off the mailing list...
",1281
"(25) Hello...
","(A) From the other siiiiiiide.
",1405,"(B) world!
",679,"(C) My name is Inigo Montoya. You killed my father. Prepare to die.
",1242,"(D) Have you heard the good word of our Lord and Savior?
",400,"(E) How did you get this number!? Stop calling me!
",470
"(26) What should Harvard replace the General Education program with?
","(A) Several episodes of ""Bill Nye the Science Guy"" and ""Where in the World Is Carmen Sandiego?""
",941,"(B) Ice Cube, a man who is simultaneously a musician, an actor, and an entrepreneur. The General Education program should strive to produce multitalented citizens of the world like Ice Cube.
",999,"(C) SoulCycle class.
",584,"(D) A single class on Genghis Khan, Hannibal, and Ulysses S. Grant.
",478,"(E) One-hour long nap sessions.
",1194
"(27) What's your favorite pickup line?
","(A) Did it hurt? When you tripped on the sidewalk because of Cambridgeí_s notoriously dangerous ancient cobblestone walkways?
",1163,"(B) I'd like to add you to my professional network on LinkedIn.
",1063,"(C) [Hold up list of movies, bucket of ice, and smile]
",638,"(D) 01100010 01101100 01100101 01100101 01110000 00100000 01100010 01101100 01101111 01101111 01110000
",372,"(E) ...EEEEEEEEEOOOOOOOOOEEEEEEEEEE..... :whale: :whale: :whale:
",960
"(28) What quality would you most appreciate someone noticing about you?
","(A) The intellectual or creative knowledge you have about an uncommon and/or embarassing subject.
",799,"(B) The particular sense of humor you have and the kind of unexpected joke you make in situations.
",1549,"(C) The physical beauty in a specifc and unexpected, and possibly embarassing, part of your body.
",284,"(D) The work and dedication you put into usually unnoticed situations, causes, or relationships.
",1193,"(E) The particular difficulty you have with an otherwise common occurrence or situation.
",371
"(29) The aspect of your future you've daydreamed the most about is...
","(A) Being a widely respected leader or policy maker, whose decisions are vastly influencing, for better or worse.
",880,"(B) Being an internationally renowned creator whose inventions or art are widely known and respected, though you might not always be liked.
",1084,"(C) Being wealthy, well-liked, and free from want for any resource, though you may lack time for personal pursuits.
",675,"(D) Living a fulfilled family life with a stable career, though both may be unextraordinary. 
",1063,"(E) Living extremely charitably or performing an extremely charitable act, though likely at cost to yourself.
",494
"(30) If you had the offer to go on a free meal with one of your matches, what would be the chance of you taking that offer?
","(A) Extremely high chance.
",1487,"(B) Decent chance.
",1563,"(C) Poor chance.
",292,"(D) Extremely low chance.
",335,"(E) Not sure yet.
",519
"(31) What was your favorite question on this survey?
","(A) Number 22
",409,"(B) That one! Over there!
",1075,"(C) ""What was your favorite question on this survey?""
",972,"(D) I appreciated all of the questions and the effort that went into designing this survey.
",1186,"(E) I found this survey hackneyed and recherchíš
",554
