ID Number,Year,House,Gender,Interested,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
36,Freshman,Wigglesworth,Male,Women,C,C,C,C,B,E,A,A,A,E,D,E,C,E,D,B,A,E,B,D,C,B,E,B,B,B,C,D,A,A,B,B
37,Freshman,Hurlbut,Male,Both,C,B,B,A,C,E,A,D,D,D,C,B,E,E,B,A,D,D,E,A,D,B,D,A,E,D,A,C,C,C,A,C
38,Junior,Pforzheimer,Male,Women,C,D,D,C,D,C,A,E,C,D,E,A,C,C,C,D,E,E,E,C,D,E,E,D,A,E,C,C,D,B,B,E
39,Freshman,Pennypacker,Female,Women,C,A,C,C,C,E,A,D,E,A,D,B,C,C,B,B,E,B,E,D,C,C,C,E,B,B,A,E,A,B,C,B
40,Senior,Dunster,Female,Men,D,A,C,C,E,C,A,E,C,A,E,A,E,D,E,C,A,A,A,A,B,C,B,D,B,C,A,A,B,D,A,D
41,Senior,Kirkland,Male,Women,E,A,B,A,B,D,B,D,D,A,B,B,E,C,B,B,E,C,A,B,C,D,E,C,C,B,E,B,A,B,A,B
42,Freshman,Hurlbut,Male,Women,E,A,C,C,E,E,A,B,C,B,B,E,E,D,B,A,B,D,B,A,C,E,D,A,E,E,E,B,D,C,A,A
43,Senior,Leverett,Female,Men,C,D,A,C,C,A,C,D,B,D,C,C,A,E,D,A,E,A,E,B,D,A,B,C,A,B,E,D,D,D,A,B
44,Sophomore,Quincy,Male,Women,C,D,B,A,B,E,A,C,A,E,B,D,C,C,C,B,B,D,E,E,D,C,B,D,B,B,E,C,B,A,B,E
45,Sophomore,Currier,Male,Men,B,D,A,C,C,C,A,A,A,D,D,B,C,C,E,B,D,E,D,B,D,C,A,A,E,B,C,D,B,C,B,B
46,Freshman,Greenough,Female,Men,C,A,B,C,B,B,A,D,A,E,D,B,B,C,B,D,B,A,E,D,D,D,B,D,E,B,E,A,D,D,A,C
47,Sophomore,Currier,Male,Women,B,D,D,C,E,E,C,D,C,E,A,C,B,C,B,B,E,D,C,D,C,D,E,E,A,C,B,B,B,A,E,C
48,Freshman,Holworthy,Female,Men,A,E,C,B,C,C,C,A,E,D,B,E,B,A,B,A,D,E,B,C,C,D,B,D,D,C,A,B,E,D,C,A
49,Freshman,Wigglesworth,Male,Men,C,D,B,C,C,A,A,D,B,E,D,B,B,D,B,A,D,E,E,C,D,D,B,D,B,B,E,B,D,B,A,C
50,Freshman,Straus,Male,Women,A,E,E,A,B,E,A,D,A,D,D,D,A,C,E,B,B,D,A,B,E,A,E,D,E,A,C,D,A,A,A,A
51,Freshman,Wigglesworth,Male,Women,C,E,A,E,C,B,E,B,B,D,E,A,B,E,E,C,C,B,E,E,E,C,C,D,B,C,E,B,A,C,A,C
52,Sophomore,Leverett,Male,Women,A,B,D,D,E,E,A,C,D,E,D,D,E,C,E,A,B,B,A,E,C,E,B,E,D,C,B,E,D,A,B,C
53,Freshman,Greenough,Female,Men,A,D,B,A,C,C,A,A,A,E,C,E,A,A,B,B,C,B,E,B,D,B,E,D,D,D,B,B,D,C,A,C
54,Freshman,Thayer,Female,Men,B,A,B,A,E,B,A,A,A,B,D,C,A,D,B,A,B,C,B,B,C,D,B,C,B,B,B,A,B,B,A,B
55,Freshman,Hollis,Male,Women,A,C,B,B,E,B,B,D,D,B,D,A,B,D,D,C,C,C,E,B,E,E,B,E,E,C,B,C,D,A,A,C
56,Freshman,Wigglesworth,Female,Men,A,A,A,D,C,A,A,A,C,E,B,E,B,D,B,A,D,A,E,C,D,B,D,D,B,B,E,A,B,C,A,C
57,Sophomore,Currier,Female,Men,A,A,E,E,C,B,A,A,C,E,D,E,C,B,C,C,A,D,B,B,E,C,D,A,A,E,E,A,A,D,D,A
58,Sophomore,Adams,Female,Both,C,D,B,C,D,B,B,D,D,D,B,C,C,E,A,D,B,B,B,A,D,E,B,B,B,D,E,D,B,E,A,C
59,Freshman,Mass Hall,Female,Women,A,B,C,A,C,A,A,D,C,D,B,B,C,C,C,C,D,A,B,C,D,B,B,D,E,E,E,B,B,D,B,C
60,Freshman,Canaday,Female,Men,C,D,B,C,B,B,A,C,D,E,A,B,E,E,E,A,C,A,D,E,A,A,B,B,D,C,E,E,D,D,D,A
61,Freshman,Matthews,Male,Women,A,E,C,A,B,E,E,C,E,C,B,B,D,E,B,B,E,E,C,B,B,C,C,C,D,E,D,D,A,B,C,B
62,Freshman,Apley,Male,Women,C,A,B,A,A,B,E,C,E,D,C,B,B,C,E,A,D,C,E,D,E,B,B,A,D,D,D,C,B,B,B,C
63,Freshman,Hurlbut,Female,Men,A,A,C,A,E,B,A,A,C,D,C,D,B,A,B,A,E,D,B,C,D,E,D,A,B,D,E,B,B,D,A,C
64,Sophomore,Cabot,Female,Men,B,E,B,C,C,D,E,D,A,E,D,B,E,C,E,E,D,A,E,E,E,D,B,D,D,D,B,B,C,D,D,B
65,Freshman,Hollis,Male,Women,E,B,E,A,D,C,A,D,E,E,B,C,A,E,D,D,A,B,E,E,D,B,D,C,A,B,D,C,D,D,C,B
66,Junior,Pforzheimer,Male,Men,E,A,E,B,B,C,E,E,A,B,D,B,A,A,A,D,E,B,A,B,A,D,D,C,C,A,D,B,B,B,B,C
67,Sophomore,Eliot,Male,Women,E,A,A,A,A,E,D,D,E,E,A,B,B,A,E,E,D,B,C,C,D,A,A,D,C,E,A,C,C,A,A,B
68,Freshman,Straus,Female,Men,B,C,C,A,C,A,A,A,D,D,C,A,E,A,E,D,E,B,D,C,E,B,D,E,B,B,D,D,A,A,A,D
69,Senior,Lowell,Female,Men,E,D,D,A,D,E,B,A,E,A,E,A,D,A,D,D,C,E,A,B,E,A,C,E,D,B,C,B,D,D,B,D
70,Sophomore,Quincy,Male,Women,B,C,C,E,E,B,A,D,A,A,D,A,A,C,C,E,D,D,E,B,D,C,B,B,E,B,C,E,B,B,C,E
71,Senior,Lowell,Male,Women,B,E,D,A,B,B,E,D,E,E,D,D,E,C,E,E,E,D,E,B,C,C,B,E,D,E,B,B,A,D,B,E
72,Freshman,Canaday,Female,Men,C,A,B,B,C,B,A,A,C,E,E,E,C,B,B,D,D,B,D,D,E,A,C,A,B,B,E,A,A,E,B,B
73,Senior,Adams,Male,Women,E,B,E,E,C,E,A,A,C,A,E,C,B,C,E,B,D,A,E,A,C,D,A,B,E,B,E,E,E,B,D,C
74,Senior,Leverett,Female,Men,C,D,B,A,E,B,A,D,E,D,C,C,B,C,B,C,E,A,E,B,D,D,A,B,B,B,E,A,C,D,C,E
75,Freshman,Matthews,Female,Men,A,D,B,A,B,B,A,D,D,A,D,D,B,C,E,D,E,D,E,D,C,E,A,D,E,B,E,E,B,D,A,A
76,Freshman,Pennypacker,Female,Men,A,E,C,C,C,A,A,D,D,A,C,A,E,E,C,B,A,D,E,C,D,A,D,D,C,D,C,C,D,E,C,C
77,Junior,Adams,Male,Women,D,A,A,C,B,C,D,D,D,C,D,A,B,C,E,B,B,C,E,B,C,C,E,A,A,A,D,C,B,D,A,A
78,Junior,Mather,Female,Men,E,C,A,E,C,B,B,A,B,C,B,A,E,A,E,A,B,E,B,E,D,C,E,D,E,D,C,E,B,B,A,C
79,Freshman,Thayer,Male,Women,C,D,C,D,B,C,C,D,E,D,D,E,B,B,B,B,B,D,E,D,E,E,E,E,C,B,A,B,B,B,A,E
80,Freshman,Lionel,Male,Women,E,C,B,A,E,B,A,C,A,D,D,B,D,C,D,C,C,C,E,A,D,E,D,D,E,D,A,A,C,A,A,D
81,Freshman,Thayer,Female,Men,C,A,B,C,C,B,A,A,C,D,D,B,A,D,B,A,A,D,E,B,D,A,D,D,E,D,E,E,A,B,C,B
82,Junior,Adams,Female,Men,B,E,A,C,E,E,B,B,E,A,A,B,B,B,B,B,B,D,A,B,C,C,A,D,A,E,A,B,C,A,A,E
83,Senior,Currier,Female,Men,C,D,B,C,B,B,B,C,E,B,E,B,B,E,A,B,A,C,B,C,C,E,B,A,A,E,C,B,B,B,B,E
84,Senior,Quincy,Male,Women,D,A,D,A,D,B,D,A,A,E,D,C,A,C,D,B,B,B,E,A,C,A,C,E,E,A,E,E,B,D,A,B
85,Junior,Mather,Male,Women,B,E,E,C,C,C,A,B,C,C,A,A,C,A,D,C,D,A,E,C,D,D,E,D,D,A,C,D,A,C,A,D
86,Sophomore,Pforzheimer,Female,Men,C,E,C,C,C,B,E,E,C,E,B,E,B,D,E,A,B,D,E,D,D,B,B,C,A,A,E,B,C,A,A,C
87,Freshman,Wigglesworth,Male,Women,B,D,C,B,B,C,D,E,E,E,A,E,B,C,D,C,E,B,E,E,E,A,D,A,A,B,E,B,B,C,A,B
88,Senior,Lowell,Male,Women,B,A,C,B,D,E,A,B,A,D,D,C,D,A,D,A,B,C,B,B,C,E,A,A,D,E,A,D,E,C,E,B
89,Freshman,Canaday,Female,Men,C,B,A,B,A,B,A,C,A,D,C,D,E,C,E,E,D,A,D,B,D,B,D,E,B,D,C,B,D,A,A,C
90,Sophomore,Currier,Male,Women,B,C,C,C,C,E,D,D,E,E,A,E,B,B,B,C,E,E,A,B,C,A,B,C,D,B,D,B,D,A,B,E
91,Freshman,Weld,Male,Women,A,C,A,A,B,A,A,D,D,A,D,C,B,A,E,C,A,C,B,B,D,C,D,B,B,E,A,A,B,C,A,D
92,Sophomore,Currier,Female,Men,B,C,A,A,C,A,C,A,E,D,C,E,A,B,B,B,E,D,D,A,D,A,A,D,B,B,B,A,A,B,A,E
93,Junior,Lowell,Female,Both,C,D,B,E,C,A,A,E,B,E,B,C,B,D,A,C,E,C,E,C,D,A,B,D,A,B,D,E,A,B,B,C
94,Freshman,Grays,Male,Women,A,C,C,A,B,C,A,C,C,E,D,B,E,C,B,B,D,D,E,C,B,E,D,E,C,B,B,D,C,A,B,D
95,Sophomore,Cabot,Male,Women,A,D,B,C,B,C,D,D,E,E,C,E,A,C,C,C,B,B,E,C,E,E,D,D,E,D,E,B,A,D,B,C
96,Junior,Cabot,Female,Men,C,C,C,A,D,B,A,A,A,D,D,C,D,D,B,A,D,E,D,D,C,D,D,B,C,B,C,A,A,C,E,E
97,Sophomore,Winthrop,Female,Both,B,E,B,E,D,A,D,D,B,E,E,D,B,D,D,D,B,B,E,E,E,C,B,B,D,D,E,B,D,C,A,B
98,Junior,Adams,Female,Men,C,C,B,A,C,C,B,A,C,B,C,B,B,D,B,C,B,D,B,B,C,B,E,D,C,B,C,E,C,C,A,A
99,Sophomore,Pforzheimer,Female,Men,A,A,C,C,A,D,A,A,A,A,D,B,E,E,B,E,B,A,E,A,D,A,B,D,E,B,E,C,D,E,A,B
100,Freshman,Mass Hall,Male,Women,C,A,D,B,E,C,A,D,A,D,B,A,E,C,B,A,E,A,E,A,D,B,B,D,B,C,D,A,B,D,A,A
101,Grad Student,Lowell,Female,Men,D,A,A,C,C,C,A,A,D,D,B,C,E,D,A,A,D,A,D,C,C,E,B,D,A,B,E,E,C,B,B,D
102,Sophomore,Lowell,Male,Men,C,D,A,C,C,D,C,C,D,D,B,B,C,D,A,C,D,A,B,A,D,A,E,C,E,B,A,B,C,A,A,C
103,Sophomore,Leverett,Female,Men,C,C,C,A,E,B,A,C,E,D,A,D,E,B,E,C,E,B,A,E,C,C,D,D,D,B,C,D,A,D,B,C
104,Freshman,Hollis,Female,Men,E,C,E,B,D,C,D,C,A,C,B,D,E,C,E,C,B,D,E,A,C,D,B,D,E,E,E,B,B,C,A,A
105,Freshman,Matthews,Male,Women,C,A,A,A,C,C,A,D,A,D,B,D,A,A,D,C,C,D,A,E,D,A,C,D,E,D,C,B,A,A,B,E
106,Sophomore,Winthrop,Male,Women,A,A,C,A,E,C,A,C,A,A,E,C,E,E,B,B,B,D,E,A,D,A,E,D,E,A,E,A,B,B,A,E
107,Sophomore,Dunster,Male,Men,A,E,C,C,C,D,A,A,E,D,B,E,D,B,B,D,D,E,B,D,D,E,B,C,E,B,B,D,C,A,A,D
108,Freshman,Thayer,Female,Men,E,A,B,A,B,C,A,D,A,E,B,B,A,E,B,E,B,B,E,B,D,E,D,B,D,A,D,A,B,B,B,A
109,Freshman,Weld,Female,Men,E,A,A,A,E,B,D,D,E,C,C,B,A,C,C,C,C,D,E,B,C,E,E,D,C,E,C,D,B,E,A,A
110,Freshman,Pennypacker,Male,Both,C,C,D,A,D,C,E,D,C,D,E,A,B,A,E,C,A,D,C,D,C,B,B,E,A,A,C,A,C,C,C,A
111,Freshman,Grays,Female,Men,C,A,E,D,B,B,A,A,C,D,D,D,A,D,B,D,B,A,B,C,D,A,E,D,D,B,E,A,C,C,C,C
112,Freshman,Thayer,Male,Women,C,D,C,A,D,E,C,E,C,E,C,A,B,A,E,E,E,A,A,B,E,B,B,E,C,E,E,A,C,A,A,E
113,Sophomore,Quincy,Male,Women,C,C,B,A,E,A,B,C,E,B,C,E,A,D,E,D,D,D,E,A,D,C,B,D,A,D,E,B,A,D,A,E
114,Sophomore,Dunster,Male,Women,B,B,B,D,C,C,E,D,E,E,D,B,C,C,C,A,D,C,C,B,B,D,A,A,C,E,C,D,B,D,A,E
115,Freshman,Hollis,Male,Women,E,C,C,C,C,E,A,D,A,A,A,E,B,D,D,A,B,C,E,D,E,A,B,C,D,B,E,D,D,B,B,A
116,Freshman,Holworthy,Female,Men,B,A,B,C,B,B,A,E,A,D,D,E,B,D,E,A,E,C,A,D,B,B,C,E,B,A,D,B,A,C,A,B
117,Freshman,Straus,Male,Women,E,C,A,A,E,C,A,A,A,D,D,C,B,E,B,C,B,D,E,A,D,A,C,D,B,E,B,D,A,A,B,A
118,Freshman,Apley,Female,Both,A,A,A,D,C,A,A,A,A,B,D,E,C,E,E,C,B,C,D,C,D,C,D,D,B,B,B,E,D,D,A,E
119,Junior,Lowell,Male,Women,C,C,C,C,A,A,A,D,D,C,C,E,B,B,E,D,E,A,A,B,D,B,C,C,D,D,B,A,B,C,E,B
120,Freshman,Wigglesworth,Female,Men,C,C,A,C,C,A,A,D,A,D,D,A,B,A,B,A,C,A,D,A,D,D,D,B,A,B,A,D,D,B,C,C
121,Freshman,Straus,Female,Men,C,C,E,E,C,E,C,A,E,E,A,B,B,D,E,B,B,E,E,C,E,D,E,D,C,D,A,E,B,E,B,C
122,Sophomore,Dunster,Female,Men,B,A,C,D,B,B,A,D,A,C,D,B,C,C,D,B,B,D,E,A,B,B,A,D,A,E,D,B,D,B,D,A
123,Freshman,Straus,Female,Men,B,B,B,A,B,E,E,D,A,D,D,B,B,C,B,B,B,D,C,D,B,B,E,E,C,B,A,A,A,D,B,D
124,Sophomore,Dunster,Male,Women,B,A,C,D,B,B,A,D,A,C,D,B,C,C,D,B,B,D,E,A,A,B,B,A,D,A,E,D,B,D,B,D
125,Sophomore,Kirkland,Female,Men,E,A,A,A,E,E,A,E,C,D,C,E,C,C,E,C,B,C,C,B,D,C,D,E,D,C,C,C,B,B,A,A
126,Sophomore,Dunster,Male,Women,D,D,E,B,E,E,A,E,B,D,E,E,B,B,D,A,E,E,E,E,E,E,E,E,C,C,E,D,B,E,B,C
127,Sophomore,Pforzheimer,Female,Both,C,A,A,A,E,B,A,D,B,E,D,E,A,D,D,C,C,D,E,B,D,A,D,D,B,B,B,B,B,D,A,A
128,Junior,Currier,Male,Women,C,A,A,D,E,A,A,D,A,A,D,E,A,D,E,B,C,A,E,B,E,A,B,D,D,D,D,C,A,D,B,A
129,Freshman,Grays,Male,Men,B,B,C,D,E,A,D,D,D,E,A,E,E,D,C,D,B,D,E,A,D,C,C,D,B,B,B,C,B,A,B,E
130,Sophomore,Quincy,Female,Men,E,D,D,E,B,C,A,C,A,D,E,E,B,E,E,D,C,D,D,B,D,A,B,E,D,E,C,B,D,D,A,C
131,Sophomore,Quincy,Female,Men,C,A,A,C,B,A,A,D,A,D,C,D,D,B,C,E,E,E,B,D,C,A,B,B,A,B,A,A,A,E,D,A
132,Senior,Lowell,Male,Women,B,D,A,C,E,C,C,C,A,A,E,C,C,C,D,A,B,A,D,B,C,B,E,B,D,B,C,E,D,A,A,E
133,Sophomore,Quincy,Female,Men,A,D,C,A,B,C,A,A,A,E,A,E,B,D,D,C,B,D,B,D,D,C,B,E,B,D,E,C,A,C,A,C
134,Senior,Pforzheimer,Male,Women,B,D,D,A,D,C,D,C,C,B,E,E,D,E,C,C,B,D,B,A,E,B,C,D,B,C,E,D,B,B,A,E
135,Sophomore,Quincy,Female,Men,C,C,C,C,E,D,B,B,D,D,B,A,B,B,E,D,D,E,B,C,C,D,C,D,D,B,E,B,E,B,D,C
136,Sophomore,Adams,Male,Women,D,D,D,C,D,A,D,C,B,A,C,A,A,C,D,D,D,E,E,B,A,A,D,E,A,A,C,D,B,B,A,E
137,Junior,Dunster,Female,Both,C,D,C,A,C,B,A,A,A,B,D,E,B,D,A,D,E,B,E,C,D,A,B,D,E,C,A,C,D,E,B,E
138,Freshman,Wigglesworth,Female,Both,E,A,A,A,C,B,A,D,D,D,E,E,B,D,B,A,B,A,E,B,C,C,A,C,B,E,B,A,A,B,A,A
140,Sophomore,Mather,Female,Men,E,B,E,B,E,A,A,D,A,E,E,B,B,C,B,B,D,B,E,B,D,C,E,D,D,B,D,C,A,A,A,A
141,Sophomore,Adams,Female,Men,B,D,B,E,C,C,C,D,E,B,A,C,A,E,D,C,B,C,E,E,E,A,E,C,D,C,E,D,B,C,C,A
142,Junior,Leverett,Male,Women,B,A,A,A,B,B,A,B,A,A,D,B,A,B,C,A,B,C,E,A,D,D,D,E,C,B,E,B,D,A,C,D
143,Sophomore,Quincy,Male,Men,C,A,C,D,D,C,C,A,C,B,C,D,D,C,A,B,B,B,B,B,E,B,B,D,D,D,E,B,D,A,B,A
144,Junior,Adams,Male,Women,B,B,C,A,D,B,A,E,E,B,E,D,B,C,C,C,B,E,E,E,D,A,B,A,A,B,D,E,D,E,B,E
145,Sophomore,Eliot,Male,Men,B,C,B,E,D,B,E,D,A,D,C,A,E,D,E,C,D,A,E,B,C,B,E,D,B,B,C,A,A,C,B,C
146,Freshman,Hurlbut,Female,Men,B,D,B,A,E,B,A,A,C,D,C,C,E,D,E,B,C,D,E,B,D,C,D,B,D,D,E,C,B,A,C,E
147,Sophomore,Leverett,Male,Both,E,D,A,A,E,E,A,E,C,D,C,E,C,C,C,C,B,C,C,B,D,C,D,E,D,C,C,C,B,B,A,D
148,Freshman,Matthews,Female,Men,C,D,A,A,E,B,A,D,A,D,C,B,C,E,D,E,E,A,A,A,D,B,D,B,E,E,A,A,A,B,B,D
149,Sophomore,Currier,Female,Men,C,C,E,C,B,A,A,D,E,D,A,D,A,B,D,D,D,A,E,A,D,B,C,D,C,C,E,B,A,D,B,B
150,Sophomore,Pforzheimer,Female,Men,A,A,E,A,C,B,B,A,C,E,B,D,B,C,B,C,B,D,E,B,C,C,D,D,E,B,A,D,C,B,A,A
151,Sophomore,Dunster,Female,Both,C,D,B,C,C,A,D,D,D,B,E,B,D,B,C,D,D,E,E,D,A,D,C,C,D,E,E,D,E,A,E,B
152,Sophomore,Lowell,Male,Women,A,D,A,E,C,E,A,C,B,A,D,A,C,D,E,D,D,D,C,B,E,C,D,A,E,D,B,A,D,D,A,E
153,Sophomore,Pforzheimer,Female,Men,A,C,B,C,B,C,C,C,C,D,D,C,B,D,B,B,D,D,E,B,E,B,E,C,E,A,B,E,B,C,A,B
154,Junior,Currier,Male,Women,C,B,E,A,C,D,A,A,A,D,C,D,B,E,E,A,C,B,E,D,D,A,E,B,E,B,A,C,D,D,A,E
155,Freshman,Matthews,Male,Women,A,D,C,C,D,B,A,A,C,B,E,A,B,C,C,C,D,C,E,B,C,B,E,E,B,B,A,D,B,B,A,D
156,Freshman,Thayer,Male,Women,A,D,E,C,E,B,E,C,C,B,A,A,A,C,E,A,D,A,D,A,D,A,B,C,A,D,E,E,B,B,A,E
157,Sophomore,Pforzheimer,Female,Men,D,B,A,C,A,A,D,A,D,D,C,C,B,E,B,D,E,E,E,A,D,D,C,D,B,D,B,B,B,A,E,E
158,Freshman,Canaday,Female,Men,A,C,A,C,C,B,A,C,A,D,D,B,D,A,E,B,B,B,D,B,D,B,B,D,D,A,A,E,D,D,A,A
159,Sophomore,Pforzheimer,Female,Men,A,D,E,E,B,A,D,A,D,D,B,B,E,C,C,B,A,E,E,D,C,B,D,C,E,C,B,D,E,A,B,C
160,Freshman,Leverett,Male,Women,C,D,C,A,B,B,A,D,A,D,D,A,C,C,E,A,B,D,E,D,D,C,D,D,D,A,D,E,C,A,A,C
161,Freshman,Weld,Female,Men,C,A,B,A,B,C,A,A,A,B,D,B,D,A,B,A,C,A,E,C,C,D,B,D,B,B,D,E,B,D,A,E
162,Freshman,Matthews,Female,Both,B,A,E,E,C,C,E,D,A,A,D,D,B,C,E,B,B,B,C,D,D,C,B,E,B,A,C,D,E,A,B,D
163,Freshman,Pennypacker,Female,Men,C,D,E,D,B,B,A,A,A,E,E,B,D,C,C,E,D,B,A,B,A,B,D,B,B,E,D,B,B,E,E,C
164,Freshman,Greenough,Female,Women,C,B,A,C,E,B,A,D,D,A,C,E,C,C,E,D,B,E,C,A,D,C,D,D,B,E,B,D,A,B,A,E
165,Sophomore,Mather,Male,Men,C,E,C,D,B,C,A,E,D,E,C,D,C,D,E,D,A,C,E,B,A,B,E,B,D,E,E,C,A,A,B,D
166,Freshman,Hollis,Female,Women,C,A,C,C,E,B,A,C,C,D,A,A,C,B,C,A,A,A,E,B,D,C,D,B,B,B,D,A,B,B,A,B
167,Sophomore,Lowell,Male,Women,C,D,A,A,C,B,A,A,A,D,D,A,E,D,B,B,B,C,E,C,A,D,D,A,D,E,E,E,D,D,B,E
168,Freshman,Hurlbut,Male,Women,E,A,B,C,C,C,B,D,A,E,D,E,C,C,B,D,D,B,C,D,D,A,B,B,E,E,E,E,A,B,A,B
169,Freshman,Hollis,Female,Men,E,D,C,A,B,B,A,C,A,A,B,C,E,C,E,B,B,A,A,A,D,A,B,C,D,B,A,C,D,A,B,B
170,Junior,Kirkland,Female,Men,E,C,D,C,D,D,B,D,A,E,A,E,A,D,B,A,C,C,A,A,B,E,D,E,E,B,E,D,B,B,B,A
171,Junior,Quincy,Female,Men,B,E,A,A,E,E,A,D,A,E,E,E,C,D,B,D,E,D,E,B,E,A,D,D,D,B,A,A,D,E,C,E
172,Freshman,Straus,Female,Men,D,D,B,C,D,B,B,E,B,B,B,D,A,B,D,E,E,D,E,B,A,B,D,D,B,B,C,C,B,A,B,E
173,Freshman,Canaday,Male,Women,A,A,B,C,E,E,A,E,C,B,E,C,D,A,B,C,E,B,E,A,D,D,E,D,B,B,B,E,B,A,A,E
174,Freshman,Weld,Female,Men,C,D,A,A,C,B,A,A,A,D,E,B,E,D,B,A,C,D,E,C,E,A,D,D,D,E,A,C,B,D,C,E
175,Sophomore,Dunster,Female,Men,C,D,D,C,E,B,E,B,D,D,D,C,D,D,A,C,C,B,A,D,D,A,B,D,B,E,A,B,D,A,B,A
176,Sophomore,Mather,Male,Women,C,C,D,D,C,D,A,A,C,D,E,C,C,A,B,A,A,C,E,C,D,A,D,B,D,D,A,B,B,C,A,E
177,Sophomore,Pforzheimer,Male,Women,C,E,E,B,D,C,B,E,B,A,C,A,B,E,B,D,E,E,E,A,B,B,D,B,D,B,E,E,B,C,B,C
178,Junior,Quincy,Male,Women,C,A,E,A,D,C,B,D,C,B,B,D,C,E,E,B,B,D,E,B,D,A,B,A,B,C,E,C,B,B,A,C
179,Junior,Pforzheimer,Female,Men,C,C,A,A,D,B,A,C,A,D,A,E,A,D,E,D,C,B,B,C,D,A,D,D,B,C,A,D,B,D,A,E
